,Gender,Occupation Status,Age,Education,Marital_Status,Dependants,Salary,State_Code,Current Loan,Tenure,Previous Loans,Defaulted,Status
67,1,2,36,0,1,0,10454,2,1,1,1,0,0
68,0,2,44,0,1,5,132213,5,0,0,0,0,1
69,1,1,27,0,1,1,385379,5,0,0,0,0,1
70,0,1,44,1,0,1,385379,5,1,2,2,0,1
71,0,1,39,0,0,0,385379,5,0,0,0,0,1
72,0,0,20,0,1,0,12730,5,0,0,1,1,0
73,1,2,38,0,0,1,132213,5,0,0,0,0,1
74,0,1,46,1,1,2,24261,3,0,0,0,0,0
75,0,2,33,1,1,2,94571,4,0,0,0,0,0
76,1,2,46,1,1,4,132213,5,1,4,3,0,1
77,0,2,25,0,0,1,38252,3,0,0,1,0,0
78,0,2,30,1,1,1,132213,5,0,0,0,0,1
79,0,1,47,1,1,4,385379,5,0,0,0,0,1
80,0,2,26,1,0,0,94571,4,0,0,1,1,0
81,1,2,33,1,1,2,10454,2,0,0,0,0,0
82,0,2,21,0,1,1,132213,5,1,3,4,0,1
83,0,0,32,0,0,1,5455,2,1,1,1,1,0
84,0,2,35,1,0,0,132213,5,0,0,0,0,1
85,0,2,22,0,0,1,132213,5,0,0,1,0,1
86,1,2,36,1,1,2,132213,5,0,0,0,0,1
87,1,1,26,0,0,1,203437,4,1,3,2,0,1
88,1,1,22,1,0,1,203437,4,0,0,2,0,1
89,0,2,20,0,0,0,94571,4,0,0,0,0,0
90,1,0,48,1,0,1,12730,5,0,0,1,1,0
91,0,2,24,0,1,1,132213,5,0,0,0,0,1
92,1,0,40,1,1,2,19999,4,1,2,2,0,0
93,1,2,28,0,1,3,132213,5,1,3,1,0,1
94,0,2,22,0,0,1,132213,5,1,3,4,0,1
95,0,2,40,0,1,0,132213,5,0,0,1,1,1
96,0,2,47,0,1,0,132213,5,0,0,0,0,1
97,1,1,49,0,1,5,99468,2,0,0,0,0,0
98,0,2,36,1,1,5,94571,4,0,0,1,0,0
99,1,1,44,0,1,1,24261,3,0,0,1,0,0
100,0,2,30,1,1,3,10454,2,1,3,1,0,0
101,0,1,20,0,0,1,385379,5,0,0,0,0,1
102,0,2,28,0,1,2,132213,5,1,3,1,1,1
103,0,2,48,0,1,4,10454,2,0,0,0,0,0
104,1,2,22,1,0,1,94571,4,1,4,2,0,0
105,1,2,32,1,0,0,132213,5,0,0,0,0,1
106,0,2,49,1,1,3,132213,5,1,1,1,1,1
107,0,2,34,1,1,1,94571,4,0,0,1,0,0
108,1,1,33,1,1,5,24261,3,0,0,0,0,0
109,0,1,26,0,0,1,385379,5,0,0,0,0,1
110,0,1,32,0,1,3,24261,3,0,0,1,0,0
111,1,1,41,1,1,0,203437,4,1,2,1,0,1
112,1,2,46,1,1,2,132213,5,1,4,1,0,1
113,0,2,43,0,0,0,132213,5,1,3,2,1,1
114,0,2,48,0,0,0,10454,2,0,0,0,0,0
115,0,1,26,1,0,1,24261,3,1,2,1,0,0
116,1,2,39,1,0,1,38252,3,1,1,1,1,0
117,1,2,34,0,0,0,38252,3,0,0,1,0,0
118,1,2,31,1,0,1,132213,5,0,0,0,0,1
119,0,2,36,0,1,4,94571,4,0,0,0,0,0
120,0,2,33,1,1,0,10454,2,0,0,1,0,0
121,0,2,39,0,1,0,38252,3,0,0,1,0,0
122,0,1,42,1,1,2,385379,5,0,0,0,0,1
123,0,2,44,0,1,4,94571,4,1,3,2,0,0
124,1,2,43,0,1,5,94571,4,0,0,2,1,0
125,1,2,46,1,1,5,132213,5,0,0,0,0,1
126,1,1,46,1,1,4,385379,5,1,2,2,0,1
127,0,2,46,1,1,1,38252,3,0,0,1,0,0
128,1,2,31,1,1,0,10454,2,0,0,0,0,0
129,0,2,27,0,1,3,132213,5,0,0,0,0,1
130,1,1,47,1,1,3,24261,3,1,2,4,0,0
131,0,2,33,1,1,3,132213,5,0,0,1,0,1
132,1,2,31,0,1,0,132213,5,0,0,0,0,1
133,1,2,19,0,0,1,94571,4,1,3,3,1,0
134,0,1,43,0,1,2,385379,5,0,0,0,0,1
135,1,0,25,1,0,1,12730,5,0,0,2,1,0
136,1,2,27,1,0,0,10454,2,0,0,0,0,0
137,0,2,42,0,1,4,94571,4,0,0,0,0,0
138,1,2,19,0,1,3,132213,5,0,0,0,0,1
139,0,2,30,1,1,3,132213,5,0,0,0,0,1
140,0,2,26,1,0,1,132213,5,1,1,1,0,1
141,0,2,42,1,1,4,38252,3,0,0,1,1,0
142,0,1,49,1,1,4,203437,4,0,0,0,0,1
143,0,1,29,0,1,1,99468,2,0,0,2,0,0
144,1,1,37,1,1,0,203437,4,0,0,0,0,1
145,0,2,35,0,1,4,94571,4,0,0,0,0,0
146,0,1,26,0,1,5,385379,5,0,0,1,0,1
147,0,2,21,0,0,1,38252,3,0,0,0,0,0
148,1,2,21,0,1,2,132213,5,1,4,1,0,1
149,0,2,19,0,1,4,132213,5,0,0,0,0,1
150,0,1,45,1,1,0,24261,3,0,0,0,0,0
151,0,2,23,1,0,1,94571,4,1,3,1,0,0
152,0,0,28,1,0,0,19999,4,0,0,0,0,0
153,0,2,25,0,0,1,38252,3,0,0,0,0,0
154,1,2,44,0,0,1,94571,4,1,4,1,1,0
155,0,2,27,0,0,0,132213,5,1,1,4,1,1
156,1,2,46,0,0,0,94571,4,1,4,2,0,0
157,0,0,25,0,0,0,12730,5,0,0,0,0,0
158,1,2,27,0,1,3,94571,4,0,0,0,0,0
159,1,2,26,1,0,1,132213,5,1,2,2,1,1
160,0,0,30,1,1,0,12730,5,1,4,1,0,0
161,0,1,20,0,0,1,203437,4,0,0,0,0,1
162,1,1,19,0,0,0,203437,4,0,0,0,0,1
163,1,2,34,1,1,1,10454,2,0,0,0,0,0
164,1,2,41,0,1,5,38252,3,0,0,0,0,0
165,0,2,41,1,1,4,132213,5,0,0,0,0,1
166,0,1,48,1,1,3,24261,3,0,0,2,1,0
167,0,1,42,1,0,1,385379,5,0,0,0,0,1
168,0,2,23,1,0,1,132213,5,0,0,1,1,1
169,0,1,21,0,0,0,385379,5,0,0,0,0,1
170,1,0,30,1,1,1,12730,5,1,4,3,0,0
171,1,1,26,0,1,3,203437,4,1,1,1,0,1
172,1,2,40,0,1,3,132213,5,0,0,0,0,1
173,0,1,45,0,0,0,99468,2,0,0,2,0,0
174,0,1,21,0,1,4,24261,3,1,2,2,0,0
175,1,2,19,0,0,0,132213,5,0,0,0,0,1
176,0,0,21,0,1,2,5455,2,1,1,2,1,0
177,1,2,23,0,0,1,38252,3,0,0,0,0,0
178,0,1,33,1,0,1,99468,2,0,0,0,0,0
179,1,0,32,1,1,3,12730,5,0,0,1,0,0
180,0,1,21,0,0,0,385379,5,1,3,1,1,1
181,0,1,19,0,0,0,99468,2,0,0,1,1,0
182,1,2,23,0,1,2,10454,2,0,0,0,0,0
183,0,1,44,1,1,0,24261,3,0,0,0,0,0
184,1,2,41,1,1,3,132213,5,0,0,0,0,1
185,0,1,49,0,1,0,385379,5,1,2,1,0,1
186,1,1,32,1,1,5,99468,2,0,0,1,1,0
187,0,2,25,1,0,1,94571,4,1,2,3,0,0
188,0,2,45,0,1,1,10454,2,0,0,0,0,0
189,0,1,27,1,0,0,24261,3,0,0,0,0,0
190,0,2,33,1,1,5,94571,4,0,0,0,0,0
191,0,0,33,1,1,0,19999,4,0,0,0,0,0
192,1,2,44,1,0,0,38252,3,1,4,4,0,0
193,0,2,28,1,1,0,132213,5,0,0,0,0,1
194,0,0,46,0,1,1,6959,3,1,3,3,0,0
195,1,2,31,0,1,0,132213,5,1,1,1,0,1
196,1,2,37,1,1,5,132213,5,1,1,1,1,1
197,0,2,49,0,0,1,132213,5,1,4,1,0,1
198,0,2,25,0,0,0,94571,4,0,0,0,0,0
199,0,1,35,1,1,1,24261,3,0,0,0,0,0
200,1,2,38,1,0,0,132213,5,1,3,2,0,1
201,0,1,47,1,0,0,99468,2,0,0,1,1,0
202,0,2,22,1,0,1,94571,4,1,1,1,1,0
203,0,2,48,1,0,1,94571,4,0,0,0,0,0
204,0,2,23,1,1,5,38252,3,0,0,0,0,0
205,1,2,41,0,1,0,38252,3,0,0,1,0,0
206,0,0,25,1,0,1,12730,5,0,0,2,0,0
207,0,2,31,0,1,5,132213,5,0,0,0,0,1
208,0,0,33,0,1,5,12730,5,0,0,2,0,0
209,0,1,29,1,1,1,203437,4,0,0,0,0,1
210,0,1,47,1,1,5,24261,3,0,0,0,0,0
211,0,2,22,1,0,1,132213,5,0,0,0,0,1
212,0,2,31,0,0,0,132213,5,1,1,2,0,1
213,1,1,25,1,0,0,24261,3,0,0,0,0,0
214,1,1,45,1,1,2,385379,5,0,0,1,0,1
215,0,0,37,0,1,3,6959,3,0,0,0,0,0
216,0,2,40,1,1,2,94571,4,0,0,2,1,0
217,0,2,46,1,1,1,132213,5,0,0,1,1,1
218,0,1,20,0,0,0,385379,5,0,0,0,0,1
219,1,1,28,0,1,5,203437,4,1,2,4,1,1
220,0,2,31,1,0,0,132213,5,1,3,1,0,1
221,0,2,48,1,0,0,132213,5,1,1,1,0,1
222,0,2,43,0,0,1,132213,5,0,0,1,1,1
223,1,0,39,0,1,5,19999,4,0,0,0,0,0
224,0,2,24,1,0,0,38252,3,0,0,1,0,0
225,1,1,46,0,1,4,99468,2,1,4,4,0,0
226,0,0,46,1,0,1,6959,3,0,0,0,0,0
227,0,1,30,1,1,4,24261,3,0,0,0,0,0
228,0,2,30,1,0,1,38252,3,0,0,1,0,0
229,0,2,38,1,1,2,132213,5,0,0,0,0,1
230,0,0,48,1,1,2,12730,5,0,0,0,0,0
231,0,1,48,0,1,4,385379,5,1,2,1,0,1
232,1,2,29,1,1,2,132213,5,0,0,0,0,1
233,0,0,44,1,1,4,12730,5,0,0,0,0,0
234,0,2,41,0,1,5,94571,4,0,0,1,0,0
235,0,1,46,0,0,0,385379,5,1,1,1,1,1
236,0,2,43,1,1,5,132213,5,1,1,1,1,1
237,1,2,25,1,0,1,132213,5,0,0,0,0,1
238,0,1,48,0,1,1,203437,4,1,4,1,0,1
239,1,2,19,0,0,1,132213,5,1,2,1,0,1
240,0,1,19,0,0,1,24261,3,0,0,1,1,0
241,1,2,43,1,1,5,132213,5,0,0,0,0,1
242,1,2,45,0,0,1,132213,5,1,2,1,0,1
243,0,0,48,1,1,2,19999,4,0,0,1,1,0
244,1,1,43,1,1,2,203437,4,0,0,0,0,1
245,0,1,38,1,0,1,385379,5,0,0,0,0,1
246,0,2,31,1,0,0,132213,5,1,3,1,1,1
247,0,0,27,1,0,0,12730,5,0,0,0,0,0
248,0,2,21,0,1,2,132213,5,0,0,0,0,1
249,0,1,25,0,0,1,385379,5,0,0,2,0,1
250,0,2,24,1,1,2,10454,2,0,0,1,0,0
251,0,1,26,1,0,1,385379,5,0,0,0,0,1
252,0,2,45,1,1,5,132213,5,1,2,2,1,1
253,0,0,27,0,1,4,12730,5,0,0,0,0,0
254,0,2,48,1,0,1,10454,2,0,0,1,0,0
255,0,2,23,0,1,2,132213,5,0,0,0,0,1
256,0,2,19,0,0,1,94571,4,0,0,1,1,0
257,1,2,37,0,1,5,132213,5,0,0,0,0,1
258,0,0,28,1,1,0,12730,5,0,0,0,0,0
259,0,2,30,1,0,1,132213,5,0,0,0,0,1
260,0,2,42,0,1,5,94571,4,0,0,0,0,0
261,0,0,33,0,0,0,12730,5,1,2,1,0,0
262,1,1,45,1,1,2,99468,2,1,2,1,1,0
263,0,1,40,1,1,5,385379,5,0,0,1,1,1
264,0,1,42,0,1,5,385379,5,0,0,0,0,1
265,0,2,27,1,1,2,132213,5,0,0,0,0,1
266,0,2,38,1,1,0,10454,2,0,0,0,0,0
267,0,2,35,0,1,0,38252,3,0,0,1,0,0
268,1,2,48,0,1,0,10454,2,0,0,2,0,0
269,0,1,35,1,0,1,99468,2,0,0,0,0,0
270,0,1,44,0,0,1,24261,3,0,0,2,0,0
271,0,2,38,1,1,5,132213,5,0,0,0,0,1
272,0,1,30,1,1,0,99468,2,1,2,1,0,0
273,0,1,48,0,0,0,203437,4,0,0,1,1,1
274,0,1,25,1,1,1,99468,2,0,0,0,0,0
275,0,2,20,0,1,4,38252,3,0,0,0,0,0
276,0,1,21,0,0,1,385379,5,1,2,3,1,1
277,0,0,35,0,1,5,19999,4,0,0,0,0,0
278,1,1,23,1,1,3,385379,5,0,0,0,0,1
279,0,2,35,1,0,1,132213,5,0,0,1,1,1
280,0,0,42,1,1,4,12730,5,1,4,1,1,0
281,1,2,35,0,0,1,132213,5,0,0,0,0,1
282,1,2,45,0,1,3,132213,5,1,3,4,0,1
283,0,2,35,0,0,1,132213,5,0,0,0,0,1
284,1,2,20,0,0,0,132213,5,1,4,4,0,1
285,1,0,20,0,0,1,19999,4,0,0,1,1,0
286,1,2,46,0,1,3,94571,4,0,0,0,0,0
287,0,2,40,0,1,2,94571,4,1,1,1,1,0
288,0,2,41,1,1,1,132213,5,1,1,1,1,1
289,0,2,23,0,0,1,38252,3,0,0,0,0,0
290,0,2,19,0,1,4,10454,2,0,0,1,1,0
291,1,2,19,0,0,1,132213,5,0,0,0,0,1
292,0,2,37,1,1,0,132213,5,0,0,1,1,1
293,0,2,48,1,1,2,94571,4,1,4,2,0,0
294,0,1,20,0,0,0,203437,4,0,0,1,0,1
295,0,1,39,1,1,5,385379,5,1,4,1,1,1
296,1,2,30,0,1,4,132213,5,1,1,2,1,1
297,0,0,44,1,1,5,12730,5,0,0,0,0,0
298,0,2,24,0,0,0,38252,3,0,0,0,0,0
299,1,1,41,0,1,5,385379,5,1,4,1,0,1
300,1,2,22,1,1,1,38252,3,1,1,1,0,0
301,1,1,41,0,1,3,203437,4,1,1,4,0,1
302,0,1,29,1,1,2,24261,3,0,0,1,1,0
303,0,1,42,0,1,5,24261,3,1,1,1,1,0
304,1,0,45,0,1,1,12730,5,0,0,0,0,0
305,0,2,35,0,0,0,94571,4,0,0,0,0,0
306,0,1,49,1,1,4,24261,3,0,0,0,0,0
307,0,1,24,1,1,0,385379,5,0,0,1,0,1
308,0,1,42,1,0,1,99468,2,1,3,1,0,0
309,1,0,23,0,0,0,12730,5,0,0,0,0,0
310,0,2,38,1,1,2,94571,4,1,3,1,0,0
311,0,1,20,0,0,0,385379,5,0,0,1,0,1
312,0,2,24,0,0,0,94571,4,0,0,1,1,0
313,1,0,40,1,0,1,12730,5,1,4,4,1,0
314,1,2,29,1,0,0,132213,5,1,4,1,1,1
315,0,0,49,1,1,2,19999,4,1,1,1,0,0
316,0,2,34,0,1,1,132213,5,0,0,1,0,1
317,1,2,34,0,1,4,132213,5,0,0,1,0,1
318,0,1,19,0,0,1,203437,4,0,0,1,0,1
319,1,2,27,0,1,4,94571,4,0,0,1,0,0
320,0,1,46,1,0,0,385379,5,0,0,1,1,1
321,0,1,45,0,1,3,203437,4,1,4,1,0,1
322,0,0,24,0,0,1,19999,4,0,0,0,0,0
323,0,1,34,1,1,2,203437,4,0,0,1,0,1
324,1,1,47,1,0,1,385379,5,0,0,1,0,1
325,1,2,21,0,1,5,94571,4,0,0,0,0,0
326,0,2,38,0,1,2,38252,3,1,2,1,0,0
327,1,1,46,1,1,3,203437,4,0,0,1,1,1
328,1,1,45,1,1,0,385379,5,0,0,0,0,1
329,0,1,22,0,0,1,385379,5,0,0,1,1,1
330,0,0,37,1,0,1,19999,4,0,0,0,0,0
331,0,2,44,0,1,3,38252,3,0,0,0,0,0
332,1,2,21,0,1,3,94571,4,0,0,0,0,0
333,0,1,49,0,0,0,203437,4,0,0,1,1,1
334,0,2,37,0,1,5,38252,3,0,0,2,0,0
335,0,2,38,1,1,5,94571,4,1,2,1,1,0
336,1,2,25,1,1,3,132213,5,0,0,0,0,1
337,1,2,38,0,1,4,38252,3,0,0,0,0,0
338,0,2,27,0,1,1,132213,5,1,3,1,0,1
339,1,1,19,0,1,5,24261,3,0,0,2,0,0
340,0,0,26,0,0,0,12730,5,0,0,1,0,0
341,1,2,25,0,0,1,132213,5,1,1,1,0,1
342,0,1,36,1,1,2,385379,5,0,0,1,1,1
343,0,2,26,1,1,0,94571,4,0,0,0,0,0
344,1,1,19,0,0,1,385379,5,0,0,0,0,1
345,0,2,29,0,1,3,38252,3,1,2,1,0,0
346,0,1,46,1,0,1,203437,4,1,2,1,0,1
347,0,2,43,1,1,5,132213,5,0,0,0,0,1
348,1,0,43,0,1,3,6959,3,0,0,0,0,0
349,0,2,36,1,1,3,132213,5,0,0,1,0,1
350,0,1,41,0,1,4,385379,5,0,0,0,0,1
351,1,1,49,1,1,2,385379,5,1,1,1,0,1
352,1,1,48,1,1,0,385379,5,1,2,2,0,1
353,1,1,28,1,1,3,24261,3,1,1,2,0,0
354,0,0,21,0,0,1,6959,3,0,0,1,1,0
355,1,2,25,0,0,0,132213,5,0,0,0,0,1
356,0,0,46,1,1,3,6959,3,0,0,1,1,0
357,0,0,34,0,1,3,19999,4,0,0,2,0,0
358,0,2,44,0,1,3,38252,3,0,0,0,0,0
359,1,2,34,0,1,1,38252,3,0,0,0,0,0
360,0,2,43,1,1,3,94571,4,1,3,1,0,0
361,0,1,38,1,1,0,203437,4,1,3,2,0,1
362,1,2,46,0,1,1,132213,5,1,1,4,0,1
363,1,0,35,1,1,0,12730,5,0,0,0,0,0
364,0,2,20,0,1,1,132213,5,0,0,1,1,1
365,1,1,19,0,1,3,24261,3,0,0,1,1,0
366,0,1,34,0,0,0,385379,5,0,0,0,0,1
367,1,2,48,1,1,1,38252,3,0,0,0,0,0
368,0,1,30,1,0,1,203437,4,0,0,1,0,1
369,1,0,23,1,0,0,6959,3,0,0,2,1,0
370,0,2,23,1,0,0,10454,2,0,0,0,0,0
371,1,1,45,0,0,1,385379,5,0,0,0,0,1
372,0,0,41,0,1,3,6959,3,0,0,0,0,0
373,1,1,27,0,1,0,385379,5,0,0,0,0,1
374,0,2,27,0,1,5,132213,5,0,0,0,0,1
375,0,1,21,0,0,1,24261,3,0,0,1,1,0
376,0,1,37,1,0,0,24261,3,0,0,1,1,0
377,0,2,34,1,1,5,132213,5,1,1,1,1,1
378,1,2,34,1,1,1,38252,3,0,0,0,0,0
379,1,2,21,0,0,0,132213,5,1,3,3,1,1
380,1,1,38,0,1,3,385379,5,0,0,2,0,1
381,0,1,42,1,0,0,99468,2,0,0,0,0,0
382,0,2,40,1,1,3,132213,5,1,1,1,0,1
383,1,2,42,0,1,3,94571,4,0,0,1,0,0
384,0,1,19,0,1,3,24261,3,1,1,3,0,0
385,1,2,42,1,1,5,94571,4,0,0,0,0,0
386,0,1,38,0,0,1,385379,5,1,1,2,0,1
387,1,0,29,1,1,1,19999,4,0,0,0,0,0
388,0,2,35,1,1,4,132213,5,0,0,0,0,1
389,0,2,26,1,0,1,132213,5,1,4,1,0,1
390,0,2,22,0,0,0,132213,5,0,0,1,1,1
391,0,1,24,1,0,0,24261,3,1,3,1,0,0
392,0,2,26,0,0,0,132213,5,1,3,3,0,1
393,1,2,38,1,1,5,94571,4,0,0,0,0,0
394,0,2,48,1,1,4,38252,3,0,0,0,0,0
395,0,1,21,0,1,4,99468,2,0,0,0,0,0
396,0,1,34,0,0,1,385379,5,0,0,1,0,1
397,0,1,48,0,0,1,203437,4,0,0,1,1,1
398,0,2,43,1,1,5,132213,5,0,0,1,0,1
399,0,0,21,0,1,5,12730,5,0,0,1,0,0
400,0,2,43,1,1,1,94571,4,0,0,1,1,0
401,1,1,47,0,1,5,385379,5,1,1,3,1,1
402,1,2,36,1,1,5,94571,4,1,1,1,0,0
403,0,1,32,1,1,4,203437,4,1,4,4,1,1
404,0,2,36,0,1,2,132213,5,0,0,2,1,1
405,0,2,20,0,1,2,132213,5,0,0,1,1,1
406,1,0,40,1,1,2,12730,5,1,2,3,0,0
407,1,1,21,0,0,1,99468,2,0,0,0,0,0
408,0,2,34,1,1,4,38252,3,1,2,3,1,0
409,0,2,47,0,0,1,38252,3,0,0,1,0,0
410,0,2,27,1,1,5,132213,5,1,2,2,1,1
411,0,2,22,0,0,1,38252,3,0,0,1,1,0
412,0,0,19,0,0,0,19999,4,0,0,1,1,0
413,1,1,22,0,1,5,385379,5,1,1,1,0,1
414,0,1,19,0,0,0,203437,4,0,0,0,0,1
415,0,2,32,0,1,3,10454,2,0,0,0,0,0
416,1,2,39,1,1,2,132213,5,0,0,1,0,1
417,0,2,34,0,1,3,10454,2,1,1,1,1,0
418,0,1,38,1,1,5,99468,2,0,0,0,0,0
419,0,0,42,0,0,1,12730,5,0,0,0,0,0
420,0,2,26,0,0,1,94571,4,0,0,1,0,0
421,0,2,25,0,1,2,94571,4,0,0,0,0,0
422,0,1,21,0,0,0,385379,5,1,4,2,0,1
423,1,2,35,0,1,5,132213,5,0,0,0,0,1
424,0,2,19,0,0,1,10454,2,0,0,0,0,0
425,0,2,34,1,1,4,132213,5,0,0,0,0,1
426,0,2,30,1,1,3,10454,2,0,0,1,1,0
427,0,2,45,1,1,3,94571,4,0,0,0,0,0
428,0,1,37,1,0,0,385379,5,1,2,3,0,1
429,1,2,40,0,1,0,94571,4,0,0,1,0,0
430,0,2,41,1,0,0,132213,5,1,1,2,0,1
431,1,1,40,1,1,2,385379,5,0,0,1,1,1
432,0,2,32,0,1,4,132213,5,0,0,1,1,1
433,0,2,48,1,0,1,94571,4,0,0,0,0,0
434,0,2,24,1,0,0,132213,5,0,0,0,0,1
435,0,2,24,0,0,0,10454,2,0,0,0,0,0
436,1,2,31,0,1,1,94571,4,0,0,0,0,0
437,0,2,37,0,0,0,10454,2,1,1,2,1,0
438,0,2,40,1,1,2,94571,4,0,0,1,0,0
439,0,2,26,0,1,3,10454,2,0,0,0,0,0
440,0,2,45,1,0,1,132213,5,1,2,1,1,1
441,1,2,45,0,1,4,132213,5,1,2,1,0,1
442,1,2,20,0,0,0,94571,4,0,0,1,0,0
443,0,2,39,1,0,0,94571,4,0,0,2,1,0
444,0,0,48,0,1,4,19999,4,0,0,1,0,0
445,1,2,19,0,1,2,132213,5,0,0,0,0,1
446,0,2,46,1,1,5,38252,3,0,0,1,1,0
447,0,2,33,0,1,2,94571,4,1,4,1,1,0
448,1,1,19,0,1,3,203437,4,0,0,0,0,1
449,1,1,23,0,0,0,99468,2,1,4,3,1,0
450,1,0,46,0,1,2,12730,5,0,0,1,0,0
451,0,2,47,0,0,0,132213,5,0,0,1,0,1
452,1,1,34,0,1,2,203437,4,1,1,2,0,1
453,0,1,37,1,1,3,24261,3,0,0,0,0,0
454,0,2,22,0,0,0,10454,2,0,0,0,0,0
455,1,0,21,0,1,5,19999,4,0,0,2,1,0
456,1,2,35,0,1,3,132213,5,1,1,1,1,1
457,0,1,35,0,0,0,203437,4,0,0,1,0,1
458,0,2,30,0,1,5,132213,5,0,0,2,0,1
459,0,2,46,1,0,1,94571,4,0,0,0,0,0
460,0,2,48,1,1,2,10454,2,0,0,0,0,0
461,1,0,47,1,1,2,12730,5,1,4,1,0,0
462,1,2,32,0,1,4,94571,4,0,0,1,0,0
463,0,2,39,1,0,0,94571,4,0,0,1,1,0
464,0,1,24,1,0,0,385379,5,0,0,1,0,1
465,1,2,21,0,0,1,10454,2,0,0,2,0,0
466,1,1,46,0,1,1,385379,5,0,0,1,0,1
467,0,2,27,0,0,1,132213,5,0,0,0,0,1
468,0,2,23,1,1,4,10454,2,0,0,2,0,0
469,0,0,42,1,0,1,19999,4,1,4,3,0,0
470,0,0,47,1,1,2,12730,5,0,0,0,0,0
471,0,1,35,1,1,5,385379,5,0,0,2,1,1
472,1,0,32,0,1,0,19999,4,0,0,0,0,0
473,1,2,39,1,1,0,10454,2,0,0,0,0,0
474,0,1,49,1,1,0,385379,5,0,0,0,0,1
475,1,2,21,0,1,0,94571,4,1,1,1,1,0
476,0,1,46,1,1,0,203437,4,0,0,0,0,1
477,0,1,19,0,0,1,385379,5,0,0,0,0,1
